0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
5.200000000000000000e+01,1.450000000000000000e+02,2.560000000000000000e+02,3.330000000000000000e+02,3.780000000000000000e+02,4.290000000000000000e+02,4.520000000000000000e+02,4.640000000000000000e+02,5.000000000000000000e+02,5.160000000000000000e+02,5.160000000000000000e+02,5.160000000000000000e+02,5.160000000000000000e+02,5.160000000000000000e+02,5.160000000000000000e+02,5.160000000000000000e+02
3.300000000000000000e+01,7.100000000000000000e+01,9.300000000000000000e+01,1.410000000000000000e+02,2.040000000000000000e+02,2.520000000000000000e+02,2.970000000000000000e+02,3.090000000000000000e+02,3.160000000000000000e+02,3.240000000000000000e+02,3.240000000000000000e+02,3.240000000000000000e+02,3.240000000000000000e+02,3.240000000000000000e+02,3.240000000000000000e+02,3.240000000000000000e+02
4.500000000000000000e+01,1.230000000000000000e+02,2.090000000000000000e+02,2.420000000000000000e+02,2.760000000000000000e+02,3.260000000000000000e+02,3.800000000000000000e+02,4.460000000000000000e+02,4.520000000000000000e+02,4.560000000000000000e+02,4.620000000000000000e+02,4.620000000000000000e+02,4.620000000000000000e+02,4.620000000000000000e+02,4.620000000000000000e+02,4.620000000000000000e+02
2.300000000000000000e+01,4.700000000000000000e+01,7.700000000000000000e+01,1.140000000000000000e+02,1.550000000000000000e+02,1.730000000000000000e+02,1.820000000000000000e+02,1.880000000000000000e+02,2.010000000000000000e+02,2.180000000000000000e+02,2.250000000000000000e+02,2.270000000000000000e+02,2.270000000000000000e+02,2.310000000000000000e+02,2.310000000000000000e+02,2.310000000000000000e+02
4.500000000000000000e+01,1.300000000000000000e+02,2.720000000000000000e+02,3.420000000000000000e+02,3.940000000000000000e+02,4.440000000000000000e+02,4.840000000000000000e+02,4.980000000000000000e+02,5.040000000000000000e+02,5.040000000000000000e+02,5.040000000000000000e+02,5.040000000000000000e+02,5.040000000000000000e+02,5.040000000000000000e+02,5.040000000000000000e+02,5.040000000000000000e+02
2.300000000000000000e+01,4.600000000000000000e+01,7.300000000000000000e+01,9.300000000000000000e+01,1.170000000000000000e+02,1.670000000000000000e+02,1.990000000000000000e+02,2.200000000000000000e+02,2.350000000000000000e+02,2.400000000000000000e+02,2.460000000000000000e+02,2.480000000000000000e+02,2.480000000000000000e+02,2.480000000000000000e+02,2.480000000000000000e+02,2.480000000000000000e+02
1.700000000000000000e+01,4.400000000000000000e+01,1.020000000000000000e+02,1.650000000000000000e+02,2.300000000000000000e+02,2.630000000000000000e+02,3.260000000000000000e+02,3.790000000000000000e+02,4.520000000000000000e+02,5.030000000000000000e+02,5.520000000000000000e+02,6.000000000000000000e+02,6.240000000000000000e+02,6.320000000000000000e+02,6.320000000000000000e+02,6.320000000000000000e+02
3.500000000000000000e+01,1.000000000000000000e+02,1.780000000000000000e+02,2.810000000000000000e+02,3.690000000000000000e+02,4.640000000000000000e+02,5.640000000000000000e+02,6.360000000000000000e+02,6.880000000000000000e+02,7.040000000000000000e+02,7.040000000000000000e+02,7.040000000000000000e+02,7.040000000000000000e+02,7.040000000000000000e+02,7.040000000000000000e+02,7.040000000000000000e+02
3.000000000000000000e+01,5.800000000000000000e+01,8.300000000000000000e+01,1.140000000000000000e+02,1.510000000000000000e+02,1.970000000000000000e+02,2.220000000000000000e+02,2.300000000000000000e+02,2.350000000000000000e+02,2.400000000000000000e+02,2.420000000000000000e+02,2.420000000000000000e+02,2.420000000000000000e+02,2.420000000000000000e+02,2.420000000000000000e+02,2.420000000000000000e+02
3.100000000000000000e+01,9.100000000000000000e+01,1.350000000000000000e+02,1.590000000000000000e+02,2.010000000000000000e+02,2.330000000000000000e+02,2.620000000000000000e+02,2.750000000000000000e+02,3.080000000000000000e+02,3.360000000000000000e+02,3.720000000000000000e+02,4.100000000000000000e+02,4.360000000000000000e+02,4.560000000000000000e+02,4.560000000000000000e+02,4.560000000000000000e+02
