0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2.900000000000000000e+01,7.800000000000000000e+01,1.280000000000000000e+02,1.670000000000000000e+02,1.890000000000000000e+02,2.020000000000000000e+02,2.130000000000000000e+02,2.130000000000000000e+02,2.130000000000000000e+02,2.130000000000000000e+02,2.130000000000000000e+02,2.130000000000000000e+02,2.130000000000000000e+02,2.130000000000000000e+02,2.130000000000000000e+02,2.130000000000000000e+02
2.900000000000000000e+01,9.100000000000000000e+01,1.460000000000000000e+02,1.650000000000000000e+02,1.670000000000000000e+02,1.670000000000000000e+02,1.670000000000000000e+02,1.670000000000000000e+02,1.670000000000000000e+02,1.670000000000000000e+02,1.670000000000000000e+02,1.670000000000000000e+02,1.670000000000000000e+02,1.670000000000000000e+02,1.670000000000000000e+02,1.670000000000000000e+02
3.000000000000000000e+01,7.100000000000000000e+01,9.700000000000000000e+01,1.140000000000000000e+02,1.220000000000000000e+02,1.270000000000000000e+02,1.300000000000000000e+02,1.300000000000000000e+02,1.300000000000000000e+02,1.300000000000000000e+02,1.300000000000000000e+02,1.300000000000000000e+02,1.300000000000000000e+02,1.300000000000000000e+02,1.300000000000000000e+02,1.300000000000000000e+02
5.000000000000000000e+01,1.060000000000000000e+02,1.420000000000000000e+02,1.560000000000000000e+02,1.630000000000000000e+02,1.630000000000000000e+02,1.630000000000000000e+02,1.630000000000000000e+02,1.630000000000000000e+02,1.630000000000000000e+02,1.630000000000000000e+02,1.630000000000000000e+02,1.630000000000000000e+02,1.630000000000000000e+02,1.630000000000000000e+02,1.630000000000000000e+02
3.700000000000000000e+01,8.800000000000000000e+01,1.200000000000000000e+02,1.420000000000000000e+02,1.460000000000000000e+02,1.460000000000000000e+02,1.460000000000000000e+02,1.460000000000000000e+02,1.460000000000000000e+02,1.460000000000000000e+02,1.460000000000000000e+02,1.460000000000000000e+02,1.460000000000000000e+02,1.460000000000000000e+02,1.460000000000000000e+02,1.460000000000000000e+02
2.000000000000000000e+01,6.900000000000000000e+01,1.080000000000000000e+02,1.150000000000000000e+02,1.220000000000000000e+02,1.260000000000000000e+02,1.260000000000000000e+02,1.260000000000000000e+02,1.260000000000000000e+02,1.260000000000000000e+02,1.260000000000000000e+02,1.260000000000000000e+02,1.260000000000000000e+02,1.260000000000000000e+02,1.260000000000000000e+02,1.260000000000000000e+02
1.300000000000000000e+01,4.300000000000000000e+01,8.700000000000000000e+01,1.200000000000000000e+02,1.400000000000000000e+02,1.580000000000000000e+02,1.580000000000000000e+02,1.580000000000000000e+02,1.580000000000000000e+02,1.580000000000000000e+02,1.580000000000000000e+02,1.580000000000000000e+02,1.580000000000000000e+02,1.580000000000000000e+02,1.580000000000000000e+02,1.580000000000000000e+02
2.000000000000000000e+01,3.900000000000000000e+01,5.200000000000000000e+01,5.800000000000000000e+01,6.200000000000000000e+01,6.400000000000000000e+01,6.400000000000000000e+01,6.400000000000000000e+01,6.400000000000000000e+01,6.400000000000000000e+01,6.400000000000000000e+01,6.400000000000000000e+01,6.400000000000000000e+01,6.400000000000000000e+01,6.400000000000000000e+01,6.400000000000000000e+01
3.100000000000000000e+01,1.290000000000000000e+02,1.650000000000000000e+02,1.770000000000000000e+02,1.850000000000000000e+02,1.900000000000000000e+02,1.900000000000000000e+02,1.900000000000000000e+02,1.900000000000000000e+02,1.900000000000000000e+02,1.900000000000000000e+02,1.900000000000000000e+02,1.900000000000000000e+02,1.900000000000000000e+02,1.900000000000000000e+02,1.900000000000000000e+02
1.700000000000000000e+01,8.700000000000000000e+01,1.330000000000000000e+02,1.470000000000000000e+02,1.470000000000000000e+02,1.470000000000000000e+02,1.470000000000000000e+02,1.470000000000000000e+02,1.470000000000000000e+02,1.470000000000000000e+02,1.470000000000000000e+02,1.470000000000000000e+02,1.470000000000000000e+02,1.470000000000000000e+02,1.470000000000000000e+02,1.470000000000000000e+02
