0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
4.500000000000000000e+01,1.580000000000000000e+02,2.940000000000000000e+02,4.990000000000000000e+02,7.150000000000000000e+02,8.840000000000000000e+02,9.900000000000000000e+02,1.145000000000000000e+03,1.297000000000000000e+03,1.361000000000000000e+03,1.391000000000000000e+03,1.398000000000000000e+03,1.398000000000000000e+03,1.398000000000000000e+03,1.398000000000000000e+03,1.398000000000000000e+03
5.000000000000000000e+01,2.020000000000000000e+02,4.570000000000000000e+02,7.050000000000000000e+02,9.480000000000000000e+02,1.154000000000000000e+03,1.276000000000000000e+03,1.300000000000000000e+03,1.328000000000000000e+03,1.328000000000000000e+03,1.328000000000000000e+03,1.328000000000000000e+03,1.328000000000000000e+03,1.328000000000000000e+03,1.328000000000000000e+03,1.328000000000000000e+03
3.600000000000000000e+01,1.260000000000000000e+02,2.450000000000000000e+02,4.970000000000000000e+02,6.980000000000000000e+02,9.330000000000000000e+02,1.132000000000000000e+03,1.305000000000000000e+03,1.363000000000000000e+03,1.384000000000000000e+03,1.384000000000000000e+03,1.384000000000000000e+03,1.384000000000000000e+03,1.384000000000000000e+03,1.384000000000000000e+03,1.384000000000000000e+03
4.400000000000000000e+01,1.400000000000000000e+02,2.870000000000000000e+02,5.960000000000000000e+02,9.040000000000000000e+02,1.176000000000000000e+03,1.272000000000000000e+03,1.300000000000000000e+03,1.300000000000000000e+03,1.300000000000000000e+03,1.300000000000000000e+03,1.300000000000000000e+03,1.300000000000000000e+03,1.300000000000000000e+03,1.300000000000000000e+03,1.300000000000000000e+03
4.900000000000000000e+01,1.440000000000000000e+02,3.450000000000000000e+02,5.900000000000000000e+02,8.720000000000000000e+02,1.181000000000000000e+03,1.272000000000000000e+03,1.339000000000000000e+03,1.370000000000000000e+03,1.370000000000000000e+03,1.370000000000000000e+03,1.370000000000000000e+03,1.370000000000000000e+03,1.370000000000000000e+03,1.370000000000000000e+03,1.370000000000000000e+03
4.400000000000000000e+01,1.390000000000000000e+02,2.870000000000000000e+02,4.990000000000000000e+02,9.330000000000000000e+02,1.229000000000000000e+03,1.348000000000000000e+03,1.408000000000000000e+03,1.440000000000000000e+03,1.440000000000000000e+03,1.440000000000000000e+03,1.440000000000000000e+03,1.440000000000000000e+03,1.440000000000000000e+03,1.440000000000000000e+03,1.440000000000000000e+03
4.300000000000000000e+01,1.370000000000000000e+02,2.450000000000000000e+02,4.130000000000000000e+02,6.240000000000000000e+02,8.570000000000000000e+02,1.078000000000000000e+03,1.262000000000000000e+03,1.333000000000000000e+03,1.377000000000000000e+03,1.384000000000000000e+03,1.384000000000000000e+03,1.384000000000000000e+03,1.384000000000000000e+03,1.384000000000000000e+03,1.384000000000000000e+03
7.300000000000000000e+01,1.920000000000000000e+02,3.760000000000000000e+02,6.860000000000000000e+02,9.030000000000000000e+02,9.940000000000000000e+02,1.057000000000000000e+03,1.057000000000000000e+03,1.057000000000000000e+03,1.057000000000000000e+03,1.057000000000000000e+03,1.057000000000000000e+03,1.057000000000000000e+03,1.057000000000000000e+03,1.057000000000000000e+03,1.057000000000000000e+03
7.000000000000000000e+01,1.730000000000000000e+02,3.290000000000000000e+02,5.440000000000000000e+02,8.990000000000000000e+02,1.067000000000000000e+03,1.220000000000000000e+03,1.264000000000000000e+03,1.314000000000000000e+03,1.314000000000000000e+03,1.314000000000000000e+03,1.314000000000000000e+03,1.314000000000000000e+03,1.314000000000000000e+03,1.314000000000000000e+03,1.314000000000000000e+03
7.600000000000000000e+01,2.510000000000000000e+02,4.800000000000000000e+02,8.100000000000000000e+02,9.540000000000000000e+02,1.001000000000000000e+03,1.003000000000000000e+03,1.003000000000000000e+03,1.003000000000000000e+03,1.003000000000000000e+03,1.003000000000000000e+03,1.003000000000000000e+03,1.003000000000000000e+03,1.003000000000000000e+03,1.003000000000000000e+03,1.003000000000000000e+03
